po_id,supplier_id,destination_dc,sku_id,quantity_ordered,unit_cost_eur,total_cost_eur,order_date,eta_date,status
36,SUP_PL_001,1DC_AMS,SKU_0124,2171,24.06,52234.26,2024-10-01,2024-10-06,delivered
37,SUP_IT_001,1DC_CDG,SKU_0081,3329,47.86,159325.94,2024-10-01,2024-10-07,delivered
38,SUP_CN_001,1DC_CDG,SKU_0195,4718,64.6,304782.8,2024-10-01,2024-10-23,delivered
39,SUP_FR_001,1DC_AMS,SKU_0062,1503,30.13,45285.39,2024-10-01,2024-10-06,delivered
40,SUP_IT_001,1DC_AMS,SKU_0075,3925,64.0,251200.0,2024-10-02,2024-10-08,delivered
41,SUP_IT_001,1DC_MUC,SKU_0128,4324,35.27,152507.48,2024-10-08,2024-10-15,delivered
42,SUP_IT_001,1DC_MAD,SKU_0128,1237,40.12,49628.44,2024-10-08,2024-10-16,delivered
43,SUP_DE_002,1DC_MAD,SKU_0013,2804,7.28,20413.12,2024-10-10,2024-10-19,delivered
44,SUP_CN_001,1DC_MUC,SKU_0074,566,14.87,8416.42,2024-10-10,2024-11-02,delivered
45,SUP_IT_001,1DC_CDG,SKU_0035,3496,17.48,61110.08,2024-10-10,2024-10-17,delivered
46,SUP_NL_001,1DC_MUC,SKU_0146,2094,68.21,142831.74,2024-10-11,2024-10-15,delivered
47,SUP_FR_002,1DC_MUC,SKU_0196,2791,25.27,70528.57,2024-10-14,2024-10-21,delivered
48,SUP_ES_001,1DC_MAD,SKU_0033,3726,6.13,22840.38,2024-10-14,2024-10-20,delivered
49,SUP_DE_002,1DC_CDG,SKU_0143,1681,69.46,116762.26,2024-10-14,2024-10-23,delivered
50,SUP_FR_002,1DC_MAD,SKU_0129,871,22.81,19867.51,2024-10-14,2024-10-23,delivered
51,SUP_DE_002,1DC_MUC,SKU_0156,1645,32.58,53594.1,2024-10-16,2024-10-24,delivered
52,SUP_NL_001,1DC_AMS,SKU_0042,2951,7.68,22663.68,2024-10-16,2024-10-21,delivered
53,SUP_NL_001,1DC_CDG,SKU_0095,1397,4.84,6761.48,2024-10-18,2024-10-22,delivered
54,SUP_NL_001,1DC_MUC,SKU_0068,2364,12.51,29573.64,2024-10-24,2024-10-29,delivered
55,SUP_DE_002,1DC_MUC,SKU_0044,3614,41.44,149764.16,2024-10-24,2024-10-31,delivered
56,SUP_DE_001,1DC_MUC,SKU_0009,1400,28.1,39340.0,2024-10-24,2024-10-30,delivered
57,SUP_IT_001,1DC_AMS,SKU_0081,1740,40.63,70696.2,2024-10-24,2024-10-30,delivered
58,SUP_FR_002,1DC_MAD,SKU_0224,1631,56.27,91776.37,2024-10-25,2024-11-03,delivered
59,SUP_ES_002,1DC_AMS,SKU_0170,4804,71.13,341708.52,2024-10-25,2024-10-31,delivered
60,SUP_DE_002,1DC_MUC,SKU_0118,3304,50.0,165200.0,2024-10-25,2024-11-02,delivered
61,SUP_CN_001,1DC_AMS,SKU_0157,2075,11.81,24505.75,2024-10-25,2024-11-16,delivered
62,SUP_DE_002,1DC_CDG,SKU_0242,2867,25.61,73423.87,2024-10-28,2024-11-06,delivered
63,SUP_DE_001,1DC_AMS,SKU_0082,3357,20.41,68516.37,2024-10-28,2024-11-02,delivered
64,SUP_CN_001,1DC_AMS,SKU_0230,3327,60.98,202880.46,2024-10-29,2024-11-19,delivered
65,SUP_IT_001,1DC_MAD,SKU_0075,2856,79.09,225881.04,2024-10-29,2024-11-03,delivered
66,SUP_ES_001,1DC_AMS,SKU_0089,2600,37.37,97162.0,2024-10-29,2024-11-03,delivered
67,SUP_FR_001,1DC_MUC,SKU_0052,2721,80.51,219067.71,2024-10-29,2024-11-04,delivered
68,SUP_ES_001,1DC_MAD,SKU_0063,4850,29.79,144481.5,2024-10-30,2024-11-04,delivered
69,SUP_DE_001,1DC_MAD,SKU_0014,3885,67.79,263364.15,2024-10-30,2024-11-05,delivered
70,SUP_PL_001,1DC_MUC,SKU_0002,1793,4.55,8158.15,2024-10-31,2024-11-07,delivered
71,SUP_IT_001,1DC_BCN,SKU_0123,2853,58.87,167956.11,2024-10-31,2024-11-05,delivered
72,SUP_PL_001,1DC_MAD,SKU_0137,1934,13.58,26263.72,2024-11-04,2024-11-09,delivered
73,SUP_IT_001,1DC_MAD,SKU_0240,3752,41.42,155407.84,2024-11-04,2024-11-10,delivered
74,SUP_FR_002,1DC_CDG,SKU_0238,2831,76.49,216543.19,2024-11-11,2024-11-21,delivered
75,SUP_FR_001,1DC_BCN,SKU_0070,1422,23.76,33786.72,2024-11-13,2024-11-20,delivered
76,SUP_IT_001,1DC_CDG,SKU_0166,2025,27.35,55383.75,2024-11-13,2024-11-20,delivered
77,SUP_DE_002,1DC_CDG,SKU_0203,2082,42.9,89317.8,2024-11-13,2024-11-22,delivered
78,SUP_ES_002,1DC_AMS,SKU_0212,4721,12.66,59767.86,2024-11-13,2024-11-21,delivered
79,SUP_IT_001,1DC_CDG,SKU_0123,2532,52.84,133790.88,2024-11-15,2024-11-23,delivered
80,SUP_DE_002,1DC_AMS,SKU_0061,2687,81.86,219957.82,2024-11-15,2024-11-23,delivered
81,SUP_CN_001,1DC_CDG,SKU_0067,2435,6.55,15949.25,2024-11-18,2024-12-08,delivered
82,SUP_PL_001,1DC_MUC,SKU_0104,3047,50.19,152928.93,2024-11-19,2024-11-25,delivered
83,SUP_NL_001,1DC_MUC,SKU_0095,2309,3.85,8889.65,2024-11-19,2024-11-22,delivered
84,SUP_ES_001,1DC_MUC,SKU_0192,3560,32.52,115771.2,2024-11-20,2024-11-27,delivered
85,SUP_ES_002,1DC_MUC,SKU_0194,2289,11.32,25911.48,2024-11-20,2024-11-25,delivered
86,SUP_FR_001,1DC_AMS,SKU_0135,4826,51.41,248104.66,2024-11-20,2024-11-24,delivered
87,SUP_DE_001,1DC_MUC,SKU_0235,1419,35.77,50757.63,2024-11-20,2024-11-24,delivered
88,SUP_CN_001,1DC_CDG,SKU_0043,4762,44.6,212385.2,2024-11-21,2024-12-12,delivered
89,SUP_IT_001,1DC_MUC,SKU_0184,4504,33.69,151739.76,2024-11-21,2024-11-29,delivered
90,SUP_CN_001,1DC_MUC,SKU_0117,972,31.64,30754.08,2024-11-25,2024-12-17,delivered
91,SUP_CN_001,1DC_MAD,SKU_0186,3743,43.08,161248.44,2024-11-25,2024-12-15,delivered
92,SUP_CN_001,1DC_BCN,SKU_0191,1098,50.07,54976.86,2024-11-25,2024-12-17,delivered
93,SUP_ES_001,1DC_MAD,SKU_0180,4933,71.54,352906.82,2024-11-25,2024-11-29,delivered
94,SUP_IT_001,1DC_BCN,SKU_0105,1609,61.45,98873.05,2024-11-27,2024-12-05,delivered
95,SUP_FR_001,1DC_AMS,SKU_0096,4174,60.78,253695.72,2024-11-27,2024-12-04,delivered
96,SUP_FR_002,1DC_MAD,SKU_0097,4917,40.03,196827.51,2024-11-27,2024-12-06,delivered
97,SUP_IT_001,1DC_BCN,SKU_0136,2324,10.3,23937.2,2024-11-28,2024-12-03,delivered
98,SUP_PL_001,1DC_AMS,SKU_0077,4960,73.07,362427.2,2024-11-28,2024-12-05,delivered
99,SUP_FR_002,1DC_BCN,SKU_0211,2527,10.77,27215.79,2024-11-28,2024-12-06,delivered
100,SUP_IT_001,1DC_BCN,SKU_0071,1424,52.88,75301.12,2024-11-28,2024-12-06,delivered
101,SUP_FR_001,1DC_MUC,SKU_0026,775,71.42,55350.5,2024-12-04,2024-12-08,delivered
102,SUP_FR_001,1DC_AMS,SKU_0103,2419,27.21,65820.99,2024-12-05,2024-12-09,delivered
103,SUP_IT_001,1DC_MUC,SKU_0060,3112,56.7,176450.4,2024-12-06,2024-12-13,delivered
104,SUP_DE_002,1DC_CDG,SKU_0061,1673,82.56,138122.88,2024-12-06,2024-12-13,delivered
105,SUP_DE_002,1DC_CDG,SKU_0106,2754,3.1,8537.4,2024-12-06,2024-12-13,delivered
106,SUP_DE_002,1DC_CDG,SKU_0013,3622,7.93,28722.46,2024-12-10,2024-12-18,pending
107,SUP_NL_001,1DC_AMS,SKU_0107,1722,28.36,48835.92,2024-12-10,2024-12-13,pending
108,SUP_DE_001,1DC_BCN,SKU_0122,2346,40.84,95810.64,2024-12-10,2024-12-14,in_transit
109,SUP_DE_001,1DC_MAD,SKU_0235,3880,47.29,183485.2,2024-12-10,2024-12-14,in_transit
110,SUP_FR_002,1DC_MAD,SKU_0085,4184,66.68,278989.12,2024-12-11,2024-12-18,pending
111,SUP_CN_001,1DC_BCN,SKU_0186,922,43.28,39904.16,2024-12-11,2024-12-31,delivered
112,SUP_IT_001,1DC_BCN,SKU_0123,3227,58.52,188844.04,2024-12-12,2024-12-17,delivered
113,SUP_IT_001,1DC_BCN,SKU_0240,1461,40.94,59813.34,2024-12-12,2024-12-20,delivered
114,SUP_IT_001,1DC_CDG,SKU_0142,2818,27.37,77128.66,2024-12-17,2024-12-24,in_transit
115,SUP_CN_001,1DC_CDG,SKU_0067,4700,8.46,39762.0,2024-12-17,2025-01-09,delivered
116,SUP_NL_001,1DC_CDG,SKU_0095,3890,3.63,14120.7,2024-12-23,2024-12-26,pending
117,SUP_FR_001,1DC_MAD,SKU_0038,2636,32.36,85300.96,2024-12-23,2024-12-30,in_transit
118,SUP_DE_002,1DC_AMS,SKU_0059,2513,72.26,181589.38,2024-12-24,2025-01-01,in_transit
119,SUP_FR_002,1DC_AMS,SKU_0196,4518,22.69,102513.42,2024-12-24,2025-01-02,delivered
120,SUP_DE_002,1DC_MUC,SKU_0036,4500,70.37,316665.0,2024-12-24,2024-12-30,pending
121,SUP_DE_002,1DC_MAD,SKU_0242,552,23.44,12938.88,2024-12-25,2025-01-01,delivered
122,SUP_FR_001,1DC_MAD,SKU_0096,4458,57.25,255220.5,2024-12-27,2024-12-31,delivered
123,SUP_PL_001,1DC_MUC,SKU_0137,3869,11.84,45808.96,2024-12-27,2025-01-02,pending
124,SUP_CN_001,1DC_MAD,SKU_0074,4614,14.73,67964.22,2024-12-27,2025-01-19,delivered
125,SUP_CN_001,1DC_MAD,SKU_0028,4795,24.87,119251.65,2024-12-27,2025-01-17,pending
