sku_id,category,velocity,unit_cost_eur,weight_kg,demand_profile,supplier_id
SKU_0195,Sports,medium,97.54,6.78,flat,SUP_CN_001
SKU_0196,Sports,fast,35.34,6.12,summer_peak,SUP_FR_002
SKU_0197,Electronics,fast,20.19,5.29,flat,SUP_DE_001
SKU_0198,Electronics,fast,65.3,3.07,event_driven,SUP_FR_002
SKU_0199,Apparel,medium,87.57,6.24,flat,SUP_ES_001
SKU_0200,Apparel,fast,75.48,5.42,summer_peak,SUP_IT_001
SKU_0201,Toys,medium,55.0,2.26,flat,SUP_FR_002
SKU_0202,Toys,fast,82.51,4.79,summer_peak,SUP_ES_001
SKU_0203,Home & Kitchen,medium,73.32,0.16,summer_peak,SUP_DE_002
SKU_0204,Apparel,slow,37.22,1.05,event_driven,SUP_NL_001
SKU_0205,Apparel,fast,65.55,1.92,summer_peak,SUP_ES_002
SKU_0206,Toys,slow,8.43,0.25,flat,SUP_FR_002
SKU_0207,Toys,medium,86.16,3.4,flat,SUP_NL_001
SKU_0208,Electronics,slow,23.52,7.59,event_driven,SUP_FR_002
SKU_0209,Books,medium,15.83,3.54,event_driven,SUP_PL_001
SKU_0210,Books,medium,39.65,2.78,summer_peak,SUP_DE_001
SKU_0211,Books,medium,16.78,4.13,summer_peak,SUP_FR_002
SKU_0212,Apparel,fast,20.56,1.66,winter_peak,SUP_ES_002
SKU_0213,Apparel,slow,76.66,3.77,event_driven,SUP_CN_001
SKU_0214,Beauty,slow,76.57,1.29,flat,SUP_IT_001
SKU_0215,Grocery,medium,96.27,4.77,summer_peak,SUP_PL_001
SKU_0216,Books,medium,56.15,0.55,summer_peak,SUP_ES_002
SKU_0217,Books,medium,62.57,3.76,flat,SUP_IT_001
SKU_0218,Home & Kitchen,medium,58.91,1.29,flat,SUP_IT_001
SKU_0219,Books,slow,101.05,7.86,flat,SUP_PL_001
SKU_0220,Apparel,fast,85.94,7.93,winter_peak,SUP_FR_002
SKU_0221,Beauty,slow,48.63,6.22,flat,SUP_FR_002
SKU_0222,Books,medium,68.5,3.15,summer_peak,SUP_CN_001
SKU_0223,Apparel,medium,71.39,1.22,summer_peak,SUP_FR_001
SKU_0224,Toys,fast,86.08,0.77,event_driven,SUP_FR_002
SKU_0225,Apparel,medium,100.07,5.94,flat,SUP_NL_001
SKU_0226,Beauty,fast,39.48,7.61,summer_peak,SUP_IT_001
SKU_0227,Home & Kitchen,fast,19.53,0.71,flat,SUP_PL_001
SKU_0228,Electronics,medium,105.6,4.98,event_driven,SUP_DE_001
SKU_0229,Apparel,fast,84.22,5.04,winter_peak,SUP_IT_001
SKU_0230,Electronics,medium,82.3,1.98,event_driven,SUP_CN_001
SKU_0231,Sports,slow,94.81,1.95,winter_peak,SUP_FR_001
SKU_0232,Grocery,slow,26.1,5.46,event_driven,SUP_IT_001
SKU_0233,Sports,slow,62.09,3.41,winter_peak,SUP_DE_002
SKU_0234,Apparel,slow,9.58,3.9,summer_peak,SUP_PL_001
SKU_0235,Books,medium,63.6,1.08,flat,SUP_DE_001
SKU_0236,Sports,medium,63.31,6.67,flat,SUP_DE_002
SKU_0237,Grocery,slow,111.9,3.38,event_driven,SUP_PL_001
SKU_0238,Beauty,fast,119.36,3.06,flat,SUP_FR_002
SKU_0239,Books,slow,79.22,6.35,winter_peak,SUP_ES_001
SKU_0240,Sports,slow,58.54,6.67,event_driven,SUP_IT_001
SKU_0241,Electronics,slow,5.71,1.8,winter_peak,SUP_PL_001
SKU_0242,Toys,fast,37.06,2.48,flat,SUP_DE_002
SKU_0243,Toys,medium,76.06,0.6,event_driven,SUP_CN_001
SKU_0244,Electronics,medium,70.49,5.78,summer_peak,SUP_NL_001
SKU_0245,Electronics,medium,31.53,3.39,flat,SUP_PL_001
SKU_0246,Beauty,fast,64.79,4.11,flat,SUP_NL_001
SKU_0247,Grocery,fast,48.57,3.05,flat,SUP_FR_002
SKU_0248,Books,medium,88.89,5.06,summer_peak,SUP_DE_001
SKU_0249,Electronics,medium,42.94,5.18,event_driven,SUP_IT_001
SKU_0250,Apparel,slow,10.85,6.23,event_driven,SUP_ES_001
