transfer_id,from_node,to_node,sku_id,units,transit_hrs,handling_cost_eur,transit_cost_eur,storage_cost_eur,total_cost_eur,transfer_mode,status,transfer_date
105,RDC_LYS,IXD_PAR,SKU_0053,121,6.7,0.122,0.113,0.039,33.15,road,completed,2024-09-05
106,IXD_PAR,FC_PAR2,SKU_0247,49,5.2,0.045,0.438,0.045,25.87,road,completed,2024-09-05
107,1DC_BCN,IXD_BCN,SKU_0193,438,10.7,0.06,0.223,0.043,142.79,road,completed,2024-09-05
108,IXD_BCN,FC_BCN2,SKU_0222,195,5.4,0.081,0.316,0.018,80.92,road,completed,2024-09-05
109,IXD_BCN,FC_BCN1,SKU_0189,851,5.7,0.059,0.515,0.096,570.17,road,completed,2024-09-05
110,IXD_BCN,FC_BCN2,SKU_0131,316,2.5,0.067,0.702,0.013,247.11,road,completed,2024-09-05
111,IXD_PAR,FC_MUN1,SKU_0201,365,1.0,0.128,0.622,0.097,309.15,road,completed,2024-09-05
112,IXD_PAR,FC_MUN1,SKU_0236,317,6.3,0.138,0.666,0.077,279.28,road,completed,2024-09-05
113,RDC_LYS,IXD_PAR,SKU_0129,235,10.7,0.042,0.233,0.078,82.95,road,completed,2024-09-05
114,RDC_LYS,IXD_PAR,SKU_0220,824,9.6,0.082,0.08,0.051,175.51,road,completed,2024-09-05
115,IXD_PAR,FC_PAR2,SKU_0177,537,3.7,0.128,0.353,0.015,266.35,road,completed,2024-09-05
116,RDC_IBE,IXD_BCN,SKU_0212,364,10.9,0.076,0.37,0.094,196.56,road,completed,2024-09-05
117,RDC_LYS,IXD_PAR,SKU_0132,389,8.8,0.115,0.37,0.095,225.62,road,completed,2024-09-05
118,IXD_BER,FC_BER1,SKU_0096,374,5.6,0.046,0.622,0.033,262.17,road,completed,2024-09-05
119,1DC_CDG,IXD_PAR,SKU_0167,746,6.6,0.061,0.185,0.034,208.88,road,completed,2024-09-05
120,1DC_CDG,IXD_PAR,SKU_0146,466,6.7,0.055,0.487,0.079,289.39,road,completed,2024-09-05
121,RDC_IBE,IXD_BCN,SKU_0002,88,8.3,0.096,0.565,0.011,59.14,road,completed,2024-09-05
122,RDC_FRA,IXD_PAR,SKU_0100,667,9.2,0.045,0.212,0.071,218.78,road,completed,2024-09-05
123,IXD_MAD,FC_MAD1,SKU_0021,599,7.1,0.041,0.494,0.083,370.18,road,completed,2024-09-05
124,IXD_BCN,FC_BCN2,SKU_0225,638,5.1,0.03,0.686,0.096,518.06,road,completed,2024-09-05
125,IXD_PAR,FC_MUN1,SKU_0117,451,5.1,0.119,0.127,0.013,116.81,road,completed,2024-09-05
126,IXD_BER,FC_BER1,SKU_0176,882,3.7,0.079,0.28,0.08,387.2,road,completed,2024-09-06
127,1DC_MUC,IXD_PAR,SKU_0176,550,9.2,0.104,0.176,0.02,165.0,road,completed,2024-09-06
128,IXD_BER,FC_BER1,SKU_0087,832,4.0,0.089,0.108,0.018,178.88,road,completed,2024-09-06
129,IXD_PAR,FC_MUN1,SKU_0146,271,2.3,0.044,0.295,0.074,111.92,road,completed,2024-09-06
130,IXD_PAR,FC_MUN1,SKU_0205,206,4.3,0.104,0.764,0.048,188.7,road,completed,2024-09-06
131,RDC_LYS,IXD_PAR,SKU_0024,551,7.2,0.135,0.29,0.078,277.15,road,completed,2024-09-06
132,IXD_BER,FC_BER1,SKU_0029,412,4.2,0.05,0.122,0.04,87.34,road,completed,2024-09-06
133,IXD_MAD,FC_MAD2,SKU_0045,567,4.7,0.041,0.604,0.095,419.58,road,completed,2024-09-06
134,RDC_LYS,IXD_PAR,SKU_0060,823,8.0,0.064,0.059,0.053,144.85,road,completed,2024-09-06
135,IXD_BER,FC_BER1,SKU_0084,476,4.8,0.066,0.609,0.049,344.62,road,completed,2024-09-06
136,IXD_PAR,FC_PAR2,SKU_0182,279,3.3,0.132,0.691,0.054,244.68,road,completed,2024-09-06
137,RDC_IBE,IXD_MAD,SKU_0195,150,8.3,0.137,0.729,0.056,138.3,road,completed,2024-09-06
138,IXD_PAR,FC_MUN1,SKU_0072,861,6.5,0.037,0.627,0.041,607.0,road,completed,2024-09-06
139,IXD_MAD,FC_MAD2,SKU_0196,701,4.6,0.076,0.09,0.073,167.54,road,completed,2024-09-06
140,IXD_BER,FC_BER1,SKU_0178,448,1.5,0.113,0.214,0.054,170.69,road,completed,2024-09-06
141,IXD_PAR,FC_PAR1,SKU_0123,523,1.7,0.039,0.281,0.025,180.43,road,completed,2024-09-06
142,RDC_IBE,IXD_MAD,SKU_0068,871,9.8,0.123,0.67,0.022,709.87,road,completed,2024-09-06
143,IXD_PAR,FC_MUN1,SKU_0215,411,4.8,0.074,0.623,0.095,325.51,road,completed,2024-09-06
144,IXD_BCN,FC_BCN1,SKU_0210,530,2.0,0.137,0.225,0.098,243.8,road,completed,2024-09-06
145,IXD_PAR,FC_MUN1,SKU_0117,282,1.8,0.067,0.121,0.088,77.83,road,completed,2024-09-06
146,1DC_CDG,IXD_PAR,SKU_0150,500,10.5,0.121,0.44,0.099,330.0,road,completed,2024-09-06
147,RDC_IBE,IXD_BCN,SKU_0056,707,7.1,0.14,0.257,0.066,327.34,road,completed,2024-09-06
148,IXD_MAD,FC_MAD2,SKU_0189,793,2.3,0.112,0.74,0.054,718.46,road,completed,2024-09-06
149,1DC_MAD,IXD_MAD,SKU_0055,101,8.4,0.11,0.378,0.046,53.93,road,completed,2024-09-06
150,IXD_BER,FC_BER1,SKU_0025,882,7.3,0.087,0.643,0.055,692.37,road,completed,2024-09-06
151,IXD_PAR,FC_MUN1,SKU_0090,894,2.8,0.09,0.578,0.054,645.47,road,completed,2024-09-06
152,IXD_PAR,FC_PAR2,SKU_0180,614,3.3,0.135,0.115,0.093,210.6,road,completed,2024-09-06
153,IXD_PAR,FC_PAR1,SKU_0018,682,4.1,0.134,0.091,0.044,183.46,road,completed,2024-09-06
154,RDC_IBE,IXD_MAD,SKU_0164,754,7.2,0.032,0.695,0.097,621.3,road,completed,2024-09-06
155,1DC_MAD,IXD_MAD,SKU_0196,525,7.9,0.11,0.772,0.045,486.68,road,completed,2024-09-06
156,IXD_BER,FC_BER1,SKU_0038,38,5.0,0.076,0.658,0.015,28.46,road,completed,2024-09-06
157,RDC_IBE,IXD_MAD,SKU_0225,344,8.6,0.14,0.246,0.019,139.32,road,completed,2024-09-06
158,RDC_IBE,IXD_MAD,SKU_0188,473,10.0,0.041,0.655,0.029,342.93,road,completed,2024-09-06
159,IXD_MAD,FC_MAD1,SKU_0154,402,4.0,0.087,0.09,0.074,100.9,road,completed,2024-09-06
160,1DC_BCN,IXD_BCN,SKU_0139,296,9.3,0.112,0.173,0.075,106.56,road,completed,2024-09-07
161,RDC_FRA,IXD_PAR,SKU_0078,811,5.0,0.068,0.441,0.048,451.73,road,completed,2024-09-07
162,IXD_PAR,FC_MUN1,SKU_0018,166,3.3,0.079,0.333,0.02,71.71,road,completed,2024-09-07
163,IXD_MAD,FC_MAD2,SKU_0077,666,2.2,0.069,0.613,0.099,520.15,road,completed,2024-09-07
164,RDC_IBE,IXD_MAD,SKU_0089,778,9.2,0.091,0.193,0.089,290.19,road,completed,2024-09-07
165,RDC_LYS,IXD_PAR,SKU_0239,87,10.6,0.051,0.789,0.015,74.39,road,completed,2024-09-07
166,1DC_MUC,IXD_PAR,SKU_0080,68,8.9,0.051,0.128,0.071,17.0,road,completed,2024-09-07
167,RDC_IBE,IXD_BCN,SKU_0104,753,8.4,0.06,0.713,0.082,643.81,road,completed,2024-09-07
168,RDC_IBE,IXD_MAD,SKU_0020,229,7.9,0.067,0.269,0.066,92.06,road,completed,2024-09-07
169,IXD_BCN,FC_BCN2,SKU_0224,866,6.0,0.077,0.684,0.078,726.57,road,completed,2024-09-07
170,RDC_LYS,IXD_PAR,SKU_0247,677,8.0,0.128,0.421,0.055,408.91,road,completed,2024-09-08
171,1DC_CDG,IXD_PAR,SKU_0021,745,8.1,0.071,0.115,0.053,178.06,road,completed,2024-09-08
172,1DC_MUC,IXD_PAR,SKU_0188,522,7.9,0.04,0.158,0.072,140.94,road,completed,2024-09-08
173,IXD_PAR,FC_PAR1,SKU_0210,102,2.6,0.105,0.365,0.068,54.88,road,completed,2024-09-08
174,1DC_MUC,IXD_PAR,SKU_0157,425,7.2,0.063,0.413,0.099,244.37,road,completed,2024-09-08
175,IXD_PAR,FC_PAR2,SKU_0200,539,5.1,0.082,0.677,0.093,459.23,road,completed,2024-09-08
176,IXD_MAD,FC_MAD2,SKU_0131,400,3.5,0.042,0.713,0.052,322.8,road,completed,2024-09-08
177,RDC_IBE,IXD_MAD,SKU_0148,624,7.0,0.098,0.196,0.072,228.38,road,completed,2024-09-08
178,IXD_BCN,FC_BCN2,SKU_0098,758,4.0,0.134,0.785,0.067,747.39,road,completed,2024-09-08
179,1DC_BCN,IXD_BCN,SKU_0044,682,8.4,0.083,0.696,0.08,585.84,road,completed,2024-09-08
180,IXD_PAR,FC_PAR1,SKU_0087,207,1.0,0.065,0.197,0.073,69.34,road,completed,2024-09-08
181,IXD_MAD,FC_MAD2,SKU_0129,672,5.6,0.121,0.365,0.08,380.35,road,completed,2024-09-09
182,IXD_PAR,FC_PAR1,SKU_0230,368,4.6,0.102,0.544,0.087,269.74,road,completed,2024-09-09
183,IXD_BER,FC_BER1,SKU_0154,686,2.9,0.091,0.573,0.064,499.41,road,completed,2024-09-09
184,1DC_MAD,IXD_MAD,SKU_0002,234,8.4,0.075,0.694,0.046,190.71,road,completed,2024-09-09
185,RDC_FRA,IXD_PAR,SKU_0166,721,7.7,0.055,0.325,0.097,343.92,road,completed,2024-09-09
186,IXD_PAR,FC_MUN1,SKU_0202,899,3.6,0.113,0.34,0.039,442.31,road,completed,2024-09-09
187,1DC_BCN,IXD_BCN,SKU_0067,785,10.2,0.144,0.266,0.012,331.27,road,completed,2024-09-09
188,RDC_IBE,IXD_BCN,SKU_0034,173,10.4,0.074,0.244,0.022,58.82,road,completed,2024-09-09
189,IXD_BER,FC_BER1,SKU_0079,790,7.7,0.059,0.648,0.076,618.57,road,completed,2024-09-09
190,IXD_BCN,FC_BCN1,SKU_0215,342,2.3,0.107,0.224,0.036,125.51,road,completed,2024-09-09
191,IXD_MAD,FC_MAD1,SKU_0109,201,5.8,0.047,0.543,0.054,129.44,road,completed,2024-09-09
192,RDC_FRA,IXD_BER,SKU_0052,588,9.8,0.09,0.411,0.016,304.0,road,completed,2024-09-09
193,RDC_IBE,IXD_BCN,SKU_0066,343,10.4,0.093,0.684,0.058,286.4,road,completed,2024-09-09
194,IXD_BER,FC_BER1,SKU_0029,664,2.1,0.102,0.678,0.065,561.08,road,completed,2024-09-09
195,RDC_IBE,IXD_MAD,SKU_0194,834,9.0,0.104,0.202,0.055,301.07,road,completed,2024-09-09
196,IXD_MAD,FC_MAD2,SKU_0210,459,3.0,0.116,0.349,0.062,241.89,road,completed,2024-09-09
197,IXD_MAD,FC_MAD1,SKU_0132,145,3.7,0.145,0.208,0.088,63.95,road,completed,2024-09-09
198,RDC_FRA,IXD_BER,SKU_0234,407,7.1,0.06,0.078,0.083,89.95,road,completed,2024-09-09
199,IXD_MAD,FC_MAD2,SKU_0140,522,6.0,0.058,0.524,0.022,315.29,road,completed,2024-09-10
200,IXD_BCN,FC_BCN1,SKU_0242,548,3.9,0.078,0.55,0.094,395.66,road,completed,2024-09-10
201,RDC_LYS,IXD_PAR,SKU_0153,877,11.8,0.124,0.594,0.015,642.84,road,completed,2024-09-10
202,IXD_BER,FC_BER1,SKU_0040,756,5.3,0.082,0.451,0.091,471.74,road,completed,2024-09-10
203,IXD_PAR,FC_MUN1,SKU_0113,487,5.8,0.119,0.383,0.08,283.43,road,completed,2024-09-10
204,IXD_BER,FC_BER1,SKU_0172,749,4.3,0.039,0.797,0.098,699.57,road,completed,2024-09-10
205,IXD_BCN,FC_BCN1,SKU_0167,610,6.0,0.083,0.731,0.055,530.09,road,completed,2024-09-10
206,RDC_IBE,IXD_MAD,SKU_0009,390,8.9,0.035,0.368,0.098,195.39,road,completed,2024-09-10
207,IXD_MAD,FC_MAD1,SKU_0031,76,5.7,0.115,0.231,0.035,28.96,road,completed,2024-09-10
208,IXD_PAR,FC_MUN1,SKU_0049,418,2.9,0.063,0.504,0.065,264.18,road,completed,2024-09-10
209,IXD_BER,FC_BER1,SKU_0021,236,5.5,0.047,0.276,0.046,87.08,road,completed,2024-09-10
210,IXD_PAR,FC_PAR2,SKU_0047,290,1.1,0.102,0.311,0.079,142.68,road,completed,2024-09-10
211,IXD_BER,FC_BER1,SKU_0009,31,4.6,0.086,0.465,0.071,19.28,road,completed,2024-09-10
212,RDC_LYS,IXD_PAR,SKU_0131,683,8.2,0.123,0.644,0.012,532.06,road,completed,2024-09-10
213,IXD_BER,FC_BER1,SKU_0231,723,2.6,0.142,0.476,0.081,505.38,road,completed,2024-09-10
214,IXD_PAR,FC_PAR1,SKU_0177,36,4.5,0.062,0.072,0.055,6.8,road,completed,2024-09-10
215,1DC_BCN,IXD_PAR,SKU_0089,758,8.3,0.103,0.331,0.03,351.71,road,completed,2024-09-10
216,IXD_PAR,FC_PAR1,SKU_0061,410,5.1,0.077,0.587,0.054,294.38,road,completed,2024-09-10
217,IXD_PAR,FC_MUN1,SKU_0037,173,2.2,0.049,0.573,0.038,114.18,road,completed,2024-09-10
218,1DC_BCN,IXD_BER,SKU_0194,351,9.5,0.034,0.161,0.011,72.31,road,completed,2024-09-10
219,IXD_PAR,FC_MUN1,SKU_0190,81,3.6,0.133,0.407,0.048,47.63,road,completed,2024-09-10
220,IXD_PAR,FC_MUN1,SKU_0178,596,4.1,0.035,0.289,0.033,212.77,road,completed,2024-09-10
221,IXD_MAD,FC_MAD2,SKU_0167,628,5.9,0.111,0.138,0.049,187.14,road,completed,2024-09-10
222,1DC_BCN,IXD_BCN,SKU_0195,58,5.5,0.037,0.352,0.087,27.61,road,completed,2024-09-10
223,IXD_BCN,FC_BCN2,SKU_0094,562,4.0,0.136,0.31,0.061,284.93,road,completed,2024-09-10
224,RDC_IBE,IXD_MAD,SKU_0222,284,8.4,0.082,0.187,0.026,83.78,road,completed,2024-09-10
225,IXD_BCN,FC_BCN2,SKU_0191,568,5.4,0.148,0.282,0.079,289.11,road,completed,2024-09-10
226,IXD_MAD,FC_MAD2,SKU_0168,107,5.3,0.102,0.206,0.015,34.56,road,completed,2024-09-10
227,IXD_BCN,FC_BCN2,SKU_0112,617,3.2,0.069,0.734,0.053,528.15,road,completed,2024-09-10
228,IXD_PAR,FC_PAR2,SKU_0154,398,3.9,0.082,0.663,0.047,315.22,road,completed,2024-09-10
229,RDC_IBE,IXD_BCN,SKU_0207,163,8.3,0.092,0.414,0.014,84.76,road,completed,2024-09-10
230,RDC_IBE,IXD_BCN,SKU_0117,867,8.6,0.075,0.646,0.031,651.98,road,completed,2024-09-10
231,1DC_MAD,IXD_MAD,SKU_0071,341,8.8,0.046,0.381,0.1,179.71,road,completed,2024-09-10
232,1DC_BCN,IXD_BER,SKU_0130,610,9.6,0.124,0.19,0.036,213.5,road,completed,2024-09-10
233,RDC_LYS,IXD_PAR,SKU_0020,534,8.2,0.073,0.29,0.088,240.83,road,completed,2024-09-10
234,1DC_MAD,IXD_MAD,SKU_0147,118,9.4,0.062,0.597,0.042,82.72,road,completed,2024-09-10
235,IXD_BER,FC_BER1,SKU_0068,647,5.2,0.142,0.101,0.098,220.63,road,completed,2024-09-10
