sla_id,from_node,to_node,measurement_date,planned_transit_hrs,actual_transit_hrs,sla_breached,delay_hrs,delay_reason
96,RDC_IBE,IXD_BCN,2024-10-16,10.0,10.5,True,0.5,port_congestion
97,RDC_IBE,IXD_BCN,2024-10-19,10.0,10.2,True,0.2,customs_hold
98,RDC_IBE,IXD_BCN,2024-10-22,10.0,7.9,False,0.0,
99,RDC_IBE,IXD_BCN,2024-10-25,10.0,7.7,False,0.0,
100,RDC_IBE,IXD_BCN,2024-10-28,10.0,8.8,False,0.0,
101,RDC_IBE,IXD_BCN,2024-10-31,10.0,12.3,True,2.3,customs_hold
102,RDC_IBE,IXD_BCN,2024-11-03,10.0,7.7,False,0.0,
103,RDC_IBE,IXD_BCN,2024-11-06,10.0,7.9,False,0.0,
104,RDC_IBE,IXD_BCN,2024-11-09,10.0,10.0,False,0.0,
105,RDC_IBE,IXD_BCN,2024-11-12,10.0,10.9,True,0.9,port_congestion
106,RDC_IBE,IXD_BCN,2024-11-15,10.0,9.9,False,0.0,
107,RDC_IBE,IXD_BCN,2024-11-18,10.0,11.8,True,1.8,port_congestion
108,RDC_IBE,IXD_BCN,2024-11-21,10.0,9.3,False,0.0,
109,RDC_IBE,IXD_BCN,2024-11-24,10.0,9.9,False,0.0,
110,RDC_IBE,IXD_BCN,2024-11-27,10.0,10.5,True,0.5,port_congestion
111,RDC_IBE,IXD_BCN,2024-11-30,10.0,7.8,False,0.0,
112,RDC_IBE,IXD_BCN,2024-12-03,10.0,10.0,False,0.0,
113,RDC_IBE,IXD_BCN,2024-12-06,10.0,12.0,True,2.0,weather
114,RDC_IBE,IXD_BCN,2024-12-09,10.0,6.1,False,0.0,
115,RDC_IBE,IXD_BCN,2024-12-12,10.0,7.9,False,0.0,
116,RDC_IBE,IXD_BCN,2024-12-15,10.0,10.1,True,0.1,carrier_capacity
117,RDC_IBE,IXD_BCN,2024-12-18,10.0,9.3,False,0.0,
118,RDC_IBE,IXD_BCN,2024-12-21,10.0,8.0,False,0.0,
119,RDC_IBE,IXD_BCN,2024-12-24,10.0,13.2,True,3.2,weather
120,RDC_IBE,IXD_BCN,2024-12-27,10.0,5.9,False,0.0,
121,IXD_BCN,FC_BCN1,2024-09-01,5.0,5.2,True,0.2,weather
122,IXD_BCN,FC_BCN1,2024-09-04,5.0,4.7,False,0.0,
123,IXD_BCN,FC_BCN1,2024-09-07,5.0,3.6,False,0.0,
124,IXD_BCN,FC_BCN1,2024-09-10,5.0,5.3,True,0.3,driver_shortage
125,IXD_BCN,FC_BCN1,2024-09-13,5.0,6.0,True,1.0,carrier_capacity
126,IXD_BCN,FC_BCN1,2024-09-16,5.0,5.6,True,0.6,customs_hold
127,IXD_BCN,FC_BCN1,2024-09-19,5.0,6.0,True,1.0,driver_shortage
128,IXD_BCN,FC_BCN1,2024-09-22,5.0,4.5,False,0.0,
129,IXD_BCN,FC_BCN1,2024-09-25,5.0,6.1,True,1.1,port_congestion
130,IXD_BCN,FC_BCN1,2024-09-28,5.0,3.9,False,0.0,
131,IXD_BCN,FC_BCN1,2024-10-01,5.0,4.8,False,0.0,
132,IXD_BCN,FC_BCN1,2024-10-04,5.0,4.9,False,0.0,
133,IXD_BCN,FC_BCN1,2024-10-07,5.0,5.6,True,0.6,customs_hold
134,IXD_BCN,FC_BCN1,2024-10-10,5.0,4.3,False,0.0,
135,IXD_BCN,FC_BCN1,2024-10-13,5.0,5.4,True,0.4,carrier_capacity
136,IXD_BCN,FC_BCN1,2024-10-16,5.0,4.3,False,0.0,
137,IXD_BCN,FC_BCN1,2024-10-19,5.0,3.6,False,0.0,
138,IXD_BCN,FC_BCN1,2024-10-22,5.0,4.5,False,0.0,
139,IXD_BCN,FC_BCN1,2024-10-25,5.0,4.1,False,0.0,
140,IXD_BCN,FC_BCN1,2024-10-28,5.0,5.4,True,0.4,weather
141,IXD_BCN,FC_BCN1,2024-10-31,5.0,4.4,False,0.0,
142,IXD_BCN,FC_BCN1,2024-11-03,5.0,4.4,False,0.0,
143,IXD_BCN,FC_BCN1,2024-11-06,5.0,5.6,True,0.6,port_congestion
144,IXD_BCN,FC_BCN1,2024-11-09,5.0,3.9,False,0.0,
145,IXD_BCN,FC_BCN1,2024-11-12,5.0,3.1,False,0.0,
146,IXD_BCN,FC_BCN1,2024-11-15,5.0,4.0,False,0.0,
147,IXD_BCN,FC_BCN1,2024-11-18,5.0,3.1,False,0.0,
148,IXD_BCN,FC_BCN1,2024-11-21,5.0,6.9,True,1.9,port_congestion
149,IXD_BCN,FC_BCN1,2024-11-24,5.0,4.8,False,0.0,
150,IXD_BCN,FC_BCN1,2024-11-27,5.0,2.9,False,0.0,
151,IXD_BCN,FC_BCN1,2024-11-30,5.0,4.5,False,0.0,
152,IXD_BCN,FC_BCN1,2024-12-03,5.0,5.0,False,0.0,
153,IXD_BCN,FC_BCN1,2024-12-06,5.0,4.3,False,0.0,
154,IXD_BCN,FC_BCN1,2024-12-09,5.0,5.1,True,0.1,port_congestion
155,IXD_BCN,FC_BCN1,2024-12-12,5.0,5.1,True,0.1,port_congestion
156,IXD_BCN,FC_BCN1,2024-12-15,5.0,5.7,True,0.7,weather
157,IXD_BCN,FC_BCN1,2024-12-18,5.0,6.0,True,1.0,port_congestion
158,IXD_BCN,FC_BCN1,2024-12-21,5.0,3.6,False,0.0,
159,IXD_BCN,FC_BCN1,2024-12-24,5.0,4.7,False,0.0,
160,IXD_BCN,FC_BCN1,2024-12-27,5.0,5.2,True,0.2,customs_hold
161,1DC_BCN,IXD_BCN,2024-09-01,10.0,12.2,True,2.2,driver_shortage
162,1DC_BCN,IXD_BCN,2024-09-04,10.0,9.7,False,0.0,
163,1DC_BCN,IXD_BCN,2024-09-07,10.0,12.1,True,2.1,port_congestion
164,1DC_BCN,IXD_BCN,2024-09-10,10.0,10.9,True,0.9,weather
165,1DC_BCN,IXD_BCN,2024-09-13,10.0,8.9,False,0.0,
166,1DC_BCN,IXD_BCN,2024-09-16,10.0,10.5,True,0.5,driver_shortage
167,1DC_BCN,IXD_BCN,2024-09-19,10.0,8.9,False,0.0,
168,1DC_BCN,IXD_BCN,2024-09-22,10.0,13.3,True,3.3,customs_hold
169,1DC_BCN,IXD_BCN,2024-09-25,10.0,11.2,True,1.2,carrier_capacity
170,1DC_BCN,IXD_BCN,2024-09-28,10.0,12.4,True,2.4,port_congestion
171,1DC_BCN,IXD_BCN,2024-10-01,10.0,6.7,False,0.0,
172,1DC_BCN,IXD_BCN,2024-10-04,10.0,9.3,False,0.0,
173,1DC_BCN,IXD_BCN,2024-10-07,10.0,12.0,True,2.0,port_congestion
174,1DC_BCN,IXD_BCN,2024-10-10,10.0,9.0,False,0.0,
175,1DC_BCN,IXD_BCN,2024-10-13,10.0,8.8,False,0.0,
176,1DC_BCN,IXD_BCN,2024-10-16,10.0,5.7,False,0.0,
177,1DC_BCN,IXD_BCN,2024-10-19,10.0,10.3,True,0.3,customs_hold
178,1DC_BCN,IXD_BCN,2024-10-22,10.0,10.5,True,0.5,weather
179,1DC_BCN,IXD_BCN,2024-10-25,10.0,10.5,True,0.5,customs_hold
180,1DC_BCN,IXD_BCN,2024-10-28,10.0,12.3,True,2.3,driver_shortage
181,1DC_BCN,IXD_BCN,2024-10-31,10.0,9.2,False,0.0,
182,1DC_BCN,IXD_BCN,2024-11-03,10.0,4.2,False,0.0,
183,1DC_BCN,IXD_BCN,2024-11-06,10.0,7.6,False,0.0,
184,1DC_BCN,IXD_BCN,2024-11-09,10.0,8.8,False,0.0,
185,1DC_BCN,IXD_BCN,2024-11-12,10.0,8.4,False,0.0,
186,1DC_BCN,IXD_BCN,2024-11-15,10.0,8.0,False,0.0,
187,1DC_BCN,IXD_BCN,2024-11-18,10.0,11.3,True,1.3,driver_shortage
188,1DC_BCN,IXD_BCN,2024-11-21,10.0,11.5,True,1.5,driver_shortage
189,1DC_BCN,IXD_BCN,2024-11-24,10.0,11.0,True,1.0,port_congestion
190,1DC_BCN,IXD_BCN,2024-11-27,10.0,9.9,False,0.0,
191,1DC_BCN,IXD_BCN,2024-11-30,10.0,10.2,True,0.2,carrier_capacity
192,1DC_BCN,IXD_BCN,2024-12-03,10.0,11.4,True,1.4,weather
193,1DC_BCN,IXD_BCN,2024-12-06,10.0,7.6,False,0.0,
194,1DC_BCN,IXD_BCN,2024-12-09,10.0,7.6,False,0.0,
195,1DC_BCN,IXD_BCN,2024-12-12,10.0,8.0,False,0.0,
196,1DC_BCN,IXD_BCN,2024-12-15,10.0,9.5,False,0.0,
197,1DC_BCN,IXD_BCN,2024-12-18,10.0,10.0,False,0.0,
198,1DC_BCN,IXD_BCN,2024-12-21,10.0,12.0,True,2.0,driver_shortage
199,1DC_BCN,IXD_BCN,2024-12-24,10.0,11.1,True,1.1,driver_shortage
200,1DC_BCN,IXD_BCN,2024-12-27,10.0,9.7,False,0.0,
201,IXD_BCN,FC_BCN2,2024-09-01,5.0,4.2,False,0.0,
202,IXD_BCN,FC_BCN2,2024-09-04,5.0,4.6,False,0.0,
203,IXD_BCN,FC_BCN2,2024-09-07,5.0,3.7,False,0.0,
204,IXD_BCN,FC_BCN2,2024-09-10,5.0,3.4,False,0.0,
205,IXD_BCN,FC_BCN2,2024-09-13,5.0,6.5,True,1.5,weather
206,IXD_BCN,FC_BCN2,2024-09-16,5.0,4.4,False,0.0,
207,IXD_BCN,FC_BCN2,2024-09-19,5.0,7.1,True,2.1,port_congestion
208,IXD_BCN,FC_BCN2,2024-09-22,5.0,5.2,True,0.2,port_congestion
209,IXD_BCN,FC_BCN2,2024-09-25,5.0,3.3,False,0.0,
210,IXD_BCN,FC_BCN2,2024-09-28,5.0,5.4,True,0.4,port_congestion
211,IXD_BCN,FC_BCN2,2024-10-01,5.0,5.5,True,0.5,weather
212,IXD_BCN,FC_BCN2,2024-10-04,5.0,5.0,False,0.0,
213,IXD_BCN,FC_BCN2,2024-10-07,5.0,4.3,False,0.0,
214,IXD_BCN,FC_BCN2,2024-10-10,5.0,4.3,False,0.0,
215,IXD_BCN,FC_BCN2,2024-10-13,5.0,5.1,True,0.1,weather
216,IXD_BCN,FC_BCN2,2024-10-16,5.0,5.3,True,0.3,carrier_capacity
217,IXD_BCN,FC_BCN2,2024-10-19,5.0,5.2,True,0.2,port_congestion
218,IXD_BCN,FC_BCN2,2024-10-22,5.0,5.0,False,0.0,
219,IXD_BCN,FC_BCN2,2024-10-25,5.0,5.6,True,0.6,driver_shortage
220,IXD_BCN,FC_BCN2,2024-10-28,5.0,2.8,False,0.0,
221,IXD_BCN,FC_BCN2,2024-10-31,5.0,3.2,False,0.0,
222,IXD_BCN,FC_BCN2,2024-11-03,5.0,4.6,False,0.0,
223,IXD_BCN,FC_BCN2,2024-11-06,5.0,5.9,True,0.9,driver_shortage
224,IXD_BCN,FC_BCN2,2024-11-09,5.0,5.1,True,0.1,customs_hold
225,IXD_BCN,FC_BCN2,2024-11-12,5.0,3.9,False,0.0,
226,IXD_BCN,FC_BCN2,2024-11-15,5.0,4.7,False,0.0,
227,IXD_BCN,FC_BCN2,2024-11-18,5.0,4.1,False,0.0,
228,IXD_BCN,FC_BCN2,2024-11-21,5.0,4.9,False,0.0,
229,IXD_BCN,FC_BCN2,2024-11-24,5.0,4.6,False,0.0,
230,IXD_BCN,FC_BCN2,2024-11-27,5.0,4.5,False,0.0,
231,IXD_BCN,FC_BCN2,2024-11-30,5.0,4.1,False,0.0,
232,IXD_BCN,FC_BCN2,2024-12-03,5.0,5.3,True,0.3,weather
233,IXD_BCN,FC_BCN2,2024-12-06,5.0,5.9,True,0.9,port_congestion
234,IXD_BCN,FC_BCN2,2024-12-09,5.0,2.9,False,0.0,
235,IXD_BCN,FC_BCN2,2024-12-12,5.0,4.8,False,0.0,
236,IXD_BCN,FC_BCN2,2024-12-15,5.0,4.8,False,0.0,
237,IXD_BCN,FC_BCN2,2024-12-18,5.0,5.0,False,0.0,
238,IXD_BCN,FC_BCN2,2024-12-21,5.0,3.5,False,0.0,
239,IXD_BCN,FC_BCN2,2024-12-24,5.0,4.6,False,0.0,
240,IXD_BCN,FC_BCN2,2024-12-27,5.0,3.9,False,0.0,
241,RDC_IBE,IXD_BCN,2024-09-01,10.0,7.5,False,0.0,
242,RDC_IBE,IXD_BCN,2024-09-04,10.0,11.3,True,1.3,driver_shortage
243,RDC_IBE,IXD_BCN,2024-09-07,10.0,9.1,False,0.0,
244,RDC_IBE,IXD_BCN,2024-09-10,10.0,10.3,True,0.3,port_congestion
245,RDC_IBE,IXD_BCN,2024-09-13,10.0,9.9,False,0.0,
246,RDC_IBE,IXD_BCN,2024-09-16,10.0,9.2,False,0.0,
247,RDC_IBE,IXD_BCN,2024-09-19,10.0,8.9,False,0.0,
248,RDC_IBE,IXD_BCN,2024-09-22,10.0,9.5,False,0.0,
249,RDC_IBE,IXD_BCN,2024-09-25,10.0,4.7,False,0.0,
250,RDC_IBE,IXD_BCN,2024-09-28,10.0,7.7,False,0.0,
251,RDC_IBE,IXD_BCN,2024-10-01,10.0,7.7,False,0.0,
252,RDC_IBE,IXD_BCN,2024-10-04,10.0,11.9,True,1.9,weather
253,RDC_IBE,IXD_BCN,2024-10-07,10.0,9.0,False,0.0,
254,RDC_IBE,IXD_BCN,2024-10-10,10.0,7.7,False,0.0,
255,RDC_IBE,IXD_BCN,2024-10-13,10.0,9.6,False,0.0,
256,RDC_IBE,IXD_BCN,2024-10-16,10.0,7.8,False,0.0,
257,RDC_IBE,IXD_BCN,2024-10-19,10.0,11.3,True,1.3,driver_shortage
258,RDC_IBE,IXD_BCN,2024-10-22,10.0,8.0,False,0.0,
259,RDC_IBE,IXD_BCN,2024-10-25,10.0,11.5,True,1.5,customs_hold
260,RDC_IBE,IXD_BCN,2024-10-28,10.0,8.8,False,0.0,
261,RDC_IBE,IXD_BCN,2024-10-31,10.0,10.3,True,0.3,driver_shortage
262,RDC_IBE,IXD_BCN,2024-11-03,10.0,7.4,False,0.0,
263,RDC_IBE,IXD_BCN,2024-11-06,10.0,8.3,False,0.0,
264,RDC_IBE,IXD_BCN,2024-11-09,10.0,9.8,False,0.0,
265,RDC_IBE,IXD_BCN,2024-11-12,10.0,9.7,False,0.0,
266,RDC_IBE,IXD_BCN,2024-11-15,10.0,7.1,False,0.0,
267,RDC_IBE,IXD_BCN,2024-11-18,10.0,7.3,False,0.0,
268,RDC_IBE,IXD_BCN,2024-11-21,10.0,9.5,False,0.0,
269,RDC_IBE,IXD_BCN,2024-11-24,10.0,8.2,False,0.0,
270,RDC_IBE,IXD_BCN,2024-11-27,10.0,6.2,False,0.0,
271,RDC_IBE,IXD_BCN,2024-11-30,10.0,6.6,False,0.0,
272,RDC_IBE,IXD_BCN,2024-12-03,10.0,9.1,False,0.0,
273,RDC_IBE,IXD_BCN,2024-12-06,10.0,7.4,False,0.0,
274,RDC_IBE,IXD_BCN,2024-12-09,10.0,8.8,False,0.0,
275,RDC_IBE,IXD_BCN,2024-12-12,10.0,9.1,False,0.0,
276,RDC_IBE,IXD_BCN,2024-12-15,10.0,8.5,False,0.0,
277,RDC_IBE,IXD_BCN,2024-12-18,10.0,11.4,True,1.4,port_congestion
278,RDC_IBE,IXD_BCN,2024-12-21,10.0,7.3,False,0.0,
279,RDC_IBE,IXD_BCN,2024-12-24,10.0,7.4,False,0.0,
280,RDC_IBE,IXD_BCN,2024-12-27,10.0,9.4,False,0.0,
281,IXD_BCN,FC_BCN2,2024-09-01,5.0,4.2,False,0.0,
282,IXD_BCN,FC_BCN2,2024-09-04,5.0,5.2,True,0.2,driver_shortage
283,IXD_BCN,FC_BCN2,2024-09-07,5.0,5.3,True,0.3,carrier_capacity
284,IXD_BCN,FC_BCN2,2024-09-10,5.0,5.0,False,0.0,
285,IXD_BCN,FC_BCN2,2024-09-13,5.0,4.0,False,0.0,
286,IXD_BCN,FC_BCN2,2024-09-16,5.0,4.3,False,0.0,
287,IXD_BCN,FC_BCN2,2024-09-19,5.0,4.6,False,0.0,
288,IXD_BCN,FC_BCN2,2024-09-22,5.0,4.6,False,0.0,
289,IXD_BCN,FC_BCN2,2024-09-25,5.0,4.0,False,0.0,
290,IXD_BCN,FC_BCN2,2024-09-28,5.0,4.0,False,0.0,
291,IXD_BCN,FC_BCN2,2024-10-01,5.0,4.4,False,0.0,
292,IXD_BCN,FC_BCN2,2024-10-04,5.0,3.8,False,0.0,
293,IXD_BCN,FC_BCN2,2024-10-07,5.0,5.4,True,0.4,driver_shortage
294,IXD_BCN,FC_BCN2,2024-10-10,5.0,4.8,False,0.0,
295,IXD_BCN,FC_BCN2,2024-10-13,5.0,4.9,False,0.0,
296,IXD_BCN,FC_BCN2,2024-10-16,5.0,3.1,False,0.0,
297,IXD_BCN,FC_BCN2,2024-10-19,5.0,6.8,True,1.8,carrier_capacity
298,IXD_BCN,FC_BCN2,2024-10-22,5.0,4.3,False,0.0,
299,IXD_BCN,FC_BCN2,2024-10-25,5.0,4.9,False,0.0,
300,IXD_BCN,FC_BCN2,2024-10-28,5.0,5.2,True,0.2,driver_shortage
301,IXD_BCN,FC_BCN2,2024-10-31,5.0,4.0,False,0.0,
302,IXD_BCN,FC_BCN2,2024-11-03,5.0,5.5,True,0.5,weather
303,IXD_BCN,FC_BCN2,2024-11-06,5.0,4.3,False,0.0,
304,IXD_BCN,FC_BCN2,2024-11-09,5.0,5.2,True,0.2,customs_hold
305,IXD_BCN,FC_BCN2,2024-11-12,5.0,4.3,False,0.0,
306,IXD_BCN,FC_BCN2,2024-11-15,5.0,6.0,True,1.0,port_congestion
307,IXD_BCN,FC_BCN2,2024-11-18,5.0,3.0,False,0.0,
308,IXD_BCN,FC_BCN2,2024-11-21,5.0,3.9,False,0.0,
309,IXD_BCN,FC_BCN2,2024-11-24,5.0,3.7,False,0.0,
310,IXD_BCN,FC_BCN2,2024-11-27,5.0,4.2,False,0.0,
311,IXD_BCN,FC_BCN2,2024-11-30,5.0,3.5,False,0.0,
312,IXD_BCN,FC_BCN2,2024-12-03,5.0,2.7,False,0.0,
313,IXD_BCN,FC_BCN2,2024-12-06,5.0,3.8,False,0.0,
314,IXD_BCN,FC_BCN2,2024-12-09,5.0,4.1,False,0.0,
315,IXD_BCN,FC_BCN2,2024-12-12,5.0,4.3,False,0.0,
316,IXD_BCN,FC_BCN2,2024-12-15,5.0,5.4,True,0.4,driver_shortage
317,IXD_BCN,FC_BCN2,2024-12-18,5.0,4.7,False,0.0,
318,IXD_BCN,FC_BCN2,2024-12-21,5.0,2.0,False,0.0,
319,IXD_BCN,FC_BCN2,2024-12-24,5.0,4.5,False,0.0,
320,IXD_BCN,FC_BCN2,2024-12-27,5.0,5.3,True,0.3,port_congestion
321,1DC_MAD,IXD_MAD,2024-09-01,10.0,10.8,True,0.8,port_congestion
322,1DC_MAD,IXD_MAD,2024-09-04,10.0,8.8,False,0.0,
323,1DC_MAD,IXD_MAD,2024-09-07,10.0,10.4,True,0.4,customs_hold
324,1DC_MAD,IXD_MAD,2024-09-10,10.0,11.7,True,1.7,carrier_capacity
325,1DC_MAD,IXD_MAD,2024-09-13,10.0,11.1,True,1.1,port_congestion
326,1DC_MAD,IXD_MAD,2024-09-16,10.0,8.6,False,0.0,
327,1DC_MAD,IXD_MAD,2024-09-19,10.0,7.5,False,0.0,
328,1DC_MAD,IXD_MAD,2024-09-22,10.0,6.1,False,0.0,
329,1DC_MAD,IXD_MAD,2024-09-25,10.0,11.7,True,1.7,customs_hold
330,1DC_MAD,IXD_MAD,2024-09-28,10.0,9.0,False,0.0,
331,1DC_MAD,IXD_MAD,2024-10-01,10.0,11.3,True,1.3,port_congestion
332,1DC_MAD,IXD_MAD,2024-10-04,10.0,12.3,True,2.3,port_congestion
